ds;y
2017-09-30;872650.4621360783
2017-10-01;636063.5313228938
2017-10-02;529497.0832728953
2017-10-03;498916.8077127325
2017-10-04;776423.449194869
2017-10-05;522584.12707184255
2017-10-06;575274.0734545324
2017-10-07;1010741.322042445
2017-10-08;700117.4173780726
2017-10-09;532672.0211957636
2017-10-10;533451.2174946308
2017-10-11;829788.3363470288
2017-10-12;539957.9259700937
2017-10-13;595745.4182527635
2017-10-14;1058038.8446712762
2017-10-15;658843.4079802904
2017-10-16;506477.6962297689
2017-10-17;517919.69468124287
2017-10-18;757223.5019787917
2017-10-19;508393.1608751711
2017-10-20;560296.2964111057
2017-10-21;986715.3362189139
2017-10-22;653468.4261793988
2017-10-23;520899.8238662625
2017-10-24;502436.82573665795
2017-10-25;740082.7005154119
2017-10-26;519716.77629850106
2017-10-27;554373.9851597932
2017-10-28;936096.5758511912
2017-10-29;666984.9540894559
2017-10-30;527435.5990422931
2017-10-31;502378.47974662174
2017-11-02;525274.7584901355
2017-11-03;525262.0418086371
2017-11-04;989755.3285056683
2017-11-05;623973.9967438416
2017-11-06;483930.4884607612
2017-11-07;467274.0321544839
2017-11-08;716829.2917454393
2017-11-09;471815.28860354796
2017-11-10;554492.2425672234
2017-11-11;1076132.8367853933
2017-11-12;667713.0034315059
2017-11-13;487278.5993692934
2017-11-14;492509.233306793
2017-11-15;750912.8487851846
2017-11-16;506358.5401510778
2017-11-17;602825.730234114
2017-11-18;980914.3745772196
2017-11-19;674092.9122909942
2017-11-20;512981.3125030436
2017-11-21;488670.1000170584
2017-11-22;764442.9823848691
2017-11-23;500320.0877182077
2017-11-24;698129.1893499324
2017-11-25;1072537.552627584
2017-11-26;715257.7282990101
2017-11-27;507838.61306526745
2017-11-28;453575.02566280315
2017-11-29;708820.1595318461
2017-11-30;463665.46119039756
2017-12-01;610375.080971736
2017-12-02;1032028.9695658
2017-12-03;720383.0244363464
2017-12-04;550341.589233304
2017-12-05;516456.29066947335
2017-12-06;796310.6093578498
2017-12-07;540802.5126821068
2017-12-08;694681.5868359988
2017-12-09;1178191.346864904
2017-12-10;838596.9284469527
2017-12-11;589520.3900703705
2017-12-12;597112.4325244516
2017-12-13;863713.3793721079
2017-12-14;613179.9692608784
2017-12-15;741635.9909795359
2017-12-16;1230061.5601106675
2017-12-17;901585.7827635044
2017-12-18;689165.6875835176
2017-12-19;706130.8519626148
2017-12-20;1034416.5168540027
2017-12-21;745825.2098726197
2017-12-22;959418.2353213337
2017-12-23;1252883.432739031
